"","d.f.","Sum of Squares","Percent variation","P","Phi statistic"
"Between ZONE2  ","6 (6)","197 (23)","45 (12.3)","1e-04 (1e-04)","0.496 (0.12)"
"Between samples Within ZONE2","16 (16)","22.5 (17.2)","4.56 (-0.283)","1e-04 (0.446)","0.0829 (-0.00323)"
"Within samples","490 (129)","281 (141)","50.4 (88)","1e-04 (1e-04)","0.45 (0.123)"
