"","d.f.","Sum of Squares","Percent variation","P","Phi statistic"
"Between Year  ","10 (10)","160 (21)","11.6 (3)","0.366 (0.175)","0.448 (0.101)"
"Between samples Within Year","12 (12)","59.5 (19.1)","33.3 (7.07)","1e-04 (2e-04)","0.376 (0.0729)"
"Within samples","490 (129)","281 (141)","55.2 (89.9)","1e-04 (1e-04)","0.116 (0.03)"
